,cond_color,probvar,cost,choseH,subject,mn_ss
484,same,high,low,1,96,4.0
485,same,high,low,1,97,1.33333333333
486,same,high,low,1,100,9.4
487,same,high,low,1,102,1.5
488,same,high,low,1,104,13.0
489,same,high,low,1,106,2.6
490,same,high,low,1,107,7.66666666667
491,same,high,low,1,110,20.4
492,same,high,low,1,112,8.5
493,same,high,low,1,113,1.0
494,same,high,low,1,116,9.5
495,same,high,low,1,119,2.0
496,same,high,low,1,121,10.1666666667
497,same,high,low,1,123,1.0
498,same,high,low,1,127,7.0
499,same,high,low,1,130,13.5
500,same,high,low,1,136,37.4
501,same,high,low,1,137,7.33333333333
502,same,high,low,1,140,4.5
503,same,high,low,1,141,28.5
504,same,high,low,1,144,10.0
505,same,high,low,1,145,14.4
506,same,high,low,1,148,18.4
507,same,high,low,1,149,2.5
508,same,high,low,1,151,11.4
509,same,high,low,1,153,5.4
510,same,high,low,1,159,23.0
511,same,high,low,1,163,3.25
512,same,high,low,1,166,18.6
513,same,high,low,1,170,9.66666666667
514,same,high,low,1,175,14.8
515,same,high,low,1,176,2.33333333333
516,same,high,low,1,179,5.0
517,same,high,low,1,180,1.5
518,same,high,low,1,181,10.6
519,same,high,low,1,191,9.75
520,same,high,low,1,192,9.33333333333
521,same,high,low,1,194,21.0
522,same,high,low,1,198,7.0
523,same,high,low,1,202,11.5
524,same,high,low,1,203,3.33333333333
525,same,high,low,1,205,7.0
526,same,high,low,1,208,8.4
527,same,high,low,1,209,15.2
528,same,high,low,1,211,20.0
529,same,high,low,1,214,10.5
530,same,high,low,1,217,20.6
531,same,high,low,1,218,2.5
532,same,low,high,0,93,2.0
533,same,low,high,0,96,2.33333333333
534,same,low,high,0,97,1.0
535,same,low,high,0,102,1.0
536,same,low,high,0,106,1.0
537,same,low,high,0,107,8.0
538,same,low,high,0,110,10.0
539,same,low,high,0,113,1.0
540,same,low,high,0,116,2.0
541,same,low,high,0,123,1.66666666667
542,same,low,high,0,140,1.5
543,same,low,high,0,145,4.0
544,same,low,high,0,151,1.6
545,same,low,high,0,153,1.0
546,same,low,high,0,159,2.0
547,same,low,high,0,166,1.0
548,same,low,high,0,180,1.0
549,same,low,high,0,191,1.0
550,same,low,high,0,192,4.66666666667
551,same,low,high,0,198,1.66666666667
552,same,low,high,0,202,10.0
553,same,low,high,0,203,1.5
554,same,low,high,0,205,2.0
555,same,low,high,0,208,4.0
556,same,low,high,0,209,3.0
557,same,low,high,0,214,2.0
558,same,low,high,0,217,1.0
559,same,low,high,1,92,4.0
560,same,low,high,1,93,2.2
561,same,low,high,1,96,4.66666666667
562,same,low,high,1,97,1.0
563,same,low,high,1,100,3.5
564,same,low,high,1,102,2.0
565,same,low,high,1,104,4.33333333333
566,same,low,high,1,106,1.0
567,same,low,high,1,107,4.2
568,same,low,high,1,110,6.8
569,same,low,high,1,112,3.5
570,same,low,high,1,113,1.0
571,same,low,high,1,116,2.6
572,same,low,high,1,119,2.0
573,same,low,high,1,121,2.33333333333
574,same,low,high,1,123,1.0
575,same,low,high,1,127,5.16666666667
576,same,low,high,1,130,4.5
577,same,low,high,1,136,16.3333333333
578,same,low,high,1,137,2.66666666667
579,same,low,high,1,140,3.75
580,same,low,high,1,141,4.83333333333
581,same,low,high,1,144,4.5
582,same,low,high,1,145,4.0
583,same,low,high,1,148,5.5
584,same,low,high,1,149,3.0
585,same,low,high,1,151,1.0
586,same,low,high,1,153,2.0
587,same,low,high,1,159,2.0
588,same,low,high,1,163,2.0
589,same,low,high,1,166,1.0
590,same,low,high,1,170,3.66666666667
591,same,low,high,1,175,7.5
592,same,low,high,1,176,2.66666666667
593,same,low,high,1,179,3.0
